CBSA,CBSANAME,Number_of_Tracts,exposure,MV_est54,MV_est51912,MV_est712,MV_est722,MV_est447,W1110_meancommute_E,W1110_carpooled_P,W1110_pubtrans_P,total_tract_pop,black_pop,med_list_sqft2012_2016,med_list_price2012_2016,school_quality,WI_weighted
12060,"Atlanta-Sandy Springs-Roswell, GA",125,"B5_10",234.024,.014702,.733227,87.6609,12.2872,31.376238,8.6488446,1.6111082,7221.5184,524.1857,118.5667,299988.2,.5599863,7.6657831
12060,"Atlanta-Sandy Springs-Roswell, GA",174,"B10_20",186.59,.049897,.76601,80.2846,13.4298,30.238421,9.3724573,1.9556067,7613.3623,1092.577,110.5208,259195.8,.5039241,8.0712168
12060,"Atlanta-Sandy Springs-Roswell, GA",268,"B20_50",149.488,.027667,.536515,82.2891,15.7164,30.710833,11.44297,1.765412,7858.0654,2427.121,94.30416,206145.9,.3929542,7.9740136
12060,"Atlanta-Sandy Springs-Roswell, GA",255,"Major",53.5623,.044058,.272994,54.6542,15.8105,32.474829,10.85391,7.6049716,7312.9983,5565.792,68.55053,139560.1,.2426351,8.8065519
12100,"Atlantic City-Hammonton, NJ",7,"Less1",53.0433,.074173,.34296,38.7744,5.09541,24.570448,6.5017679,1.3293722,4052.3169,12.75211,160.1066,265120.5,.411023,11.261769
12100,"Atlantic City-Hammonton, NJ",20,"B1_5",42.0249,.089608,.471483,45.9134,6.51474,23.731512,6.4057034,3.925187,6456.0967,254.9576,150.2981,248749.9,.4631292,11.638382
12100,"Atlantic City-Hammonton, NJ",19,"B5_10",30.8949,.092666,.672073,54.3699,5.01102,25.306562,8.1881335,7.3860188,5152.3458,367.5604,125.2728,192000.1,.4378717,9.4708022
12100,"Atlantic City-Hammonton, NJ",7,"B10_20",42.3899,0,.247879,52.9854,7.56127,25.633637,8.9802943,5.7433102,6758.1691,1038.585,114.5403,183930.2,.3966005,12.963237
12100,"Atlantic City-Hammonton, NJ",10,"B20_50",45.343,0,.900242,82.8316,5.68506,21.423125,7.5885366,12.805994,4872.7776,1589.346,107.4867,169510.1,.3160736,12.350335
12100,"Atlantic City-Hammonton, NJ",6,"Major",52.5408,0,1.79118,115.574,4.93364,18.860593,7.9318237,15.79496,5044.036,2935.485,110.6116,156340.1,.1720462,15.064669
12580,"Baltimore-Columbia-Towson, MD",31,"Less1",74.1773,.045338,.582546,40.9257,6.39639,32.624264,6.5173998,1.2737374,4672.263,18.43144,180.2502,367186.6,.555845,7.5466637
12580,"Baltimore-Columbia-Towson, MD",133,"B1_5",96.2614,.079534,.586657,53.1681,6.93952,31.692195,7.5738978,1.9274826,4798.8592,132.619,186.92,373315.6,.5052034,8.6039656
12580,"Baltimore-Columbia-Towson, MD",99,"B5_10",95.0576,.114968,.475376,58.8845,8.3245,29.493439,7.9740988,3.0690099,4896.1438,353.7567,176.3031,333318,.4443745,9.6345159
12580,"Baltimore-Columbia-Towson, MD",104,"B10_20",117.095,.115284,.621852,65.9449,7.94599,29.244147,8.477636,4.5295369,5441.772,791.5127,174.2947,301583.1,.4056863,10.861344
12580,"Baltimore-Columbia-Towson, MD",137,"B20_50",134.651,.158579,.511318,71.3928,9.77947,29.122217,8.9168881,6.7579461,5392.563,1750.869,164.9814,273337.1,.2854712,12.041876
12580,"Baltimore-Columbia-Towson, MD",171,"Major",64.1462,.203842,.714667,58.3966,7.78151,32.486634,9.8097359,19.588453,4329.713,3422.133,113.2529,166456.5,.1447725,12.977642
12940,"Baton Rouge, LA",4,"Less1",20.5471,0,0,24.9322,8.80717,33.106996,10.422934,0,5241.4007,29.89258,122.575,208530.8,.8268082,5.6078521
12940,"Baton Rouge, LA",12,"B1_5",45.5454,0,.368759,37.9326,13.892,31.887677,8.2123016,1.0228892,7562.2123,241.5586,142.6989,183097.6,.7969753,5.416475
12940,"Baton Rouge, LA",12,"B5_10",89.7993,0,.126806,60.369,15.7852,30.40915,7.4665072,.04812649,10010.498,783.3278,131.3268,209358.1,.7708404,5.9132243
12940,"Baton Rouge, LA",22,"B10_20",95.5843,0,.446743,57.0015,11.3732,27.517379,6.3317405,.67385501,7741.2347,1161.356,128.5419,214831.2,.7555315,6.6557412
12940,"Baton Rouge, LA",43,"B20_50",95.0851,.148605,.352066,52.7422,11.4242,25.570847,8.886075,.74857116,6732.5234,2196.437,115.1329,206868.9,.6832803,6.7585941
12940,"Baton Rouge, LA",57,"Major",51.6558,0,.613577,30.1016,9.29478,23.871299,11.630702,2.1225769,4897.4267,3606.379,110.3305,186907,.5274976,6.8557354
12980,"Battle Creek, MI",8,"Less1",12.5008,.552168,.777098,13.5767,4.85529,24.205084,8.0327565,.31432706,4427.2744,15.217,74.19169,126947.3,.3713198,4.0350131
12980,"Battle Creek, MI",10,"B1_5",32.5843,.644687,.965585,39.4118,10.6875,19.638935,7.840158,.56435967,3890.1453,116.2148,,111552.1,.3402172,6.0130956
12980,"Battle Creek, MI",5,"B5_10",29.3601,.925986,.981132,39.2469,9.61627,18.031432,11.128644,.16283059,3718.5508,241.4341,,83349.84,.3354525,6.2884277
12980,"Battle Creek, MI",10,"B10_20",34.704,.847763,1.06338,41.2095,10.3821,18.809575,11.873219,1.8053608,3741.1903,619.3339,,88162.65,.1891032,7.3004453
